id	x.coordinate	y.coordinate	impact	tick.start	tick.end
DT_75	4141897	3560258	211	20361	20368
DT_76	4141828	3559507	211	20681	20686
DT_77	4141872	3558713	212	21381	21385
DT_79	4141476	3557665	205	21684	21688
DT_04	4140326	3557810	205	22400	22405
DT_03	4141022	3556594	205	22442	22448
DT_80	4141403	3556115	205	22490	22494
DT_02	4140543	3555788	205	22592	22596
DT_01	4140467	3554895	213	23204	23208
DT_48	4141187	3554480	212	23432	23437
DT_47	4142084	3554535	212	23623	23628
DT_46	4142979	3554581	208	23892	23896
DT_60	4142568	3556489	214	24073	24077
DT_67	4143842	3557427	213	24315	24319
DT_63	4143327	3560515	209	24639	24643
DT_44	4144696	3554679	212	24717	24722
DT_66	4143337	3558575	213	24776	24780
DT_38	4144595	3559992	211	25022	25026
DT_41	4144884	3557327	211	25068	25072
DT_40	4144780	3558425	210	25116	25120
DT_39	4144682	3559176	205	25163	25167
DT_68	4143806	3556364	209	26322	26328
DT_69a	4143804	3555491	211	26376	26380
DT_69b	4143804	3555491	211	26385	26392
DT_45	4143855	3554624	211	26450	26455
DT_06	4140386	3559753	207	26790	26795
DT_07	4140410	3560655	208	26839	26844
DT_08	4140412	3561611	205	26924	26928
DT_09	4140427	3562571	205	26972	26976
DT_74	4141484	3561150	203	27198	27204
DT_73	4141753	3561887	205	27243	27247
DT_10	4140453	3563531	207	27290	27294
DT_11	4140464	3564487	206	27337	27342
DT_12	4140484	3565148	205	27480	27485
DT_70a	4141537	3564376	203	27528	27531
DT_70b	4141537	3564376	203	27534	27534
DT_70c	4141537	3564376	203	27537	27537
DT_70d	4141537	3564376	203	27556	27559
DT_71	4141613	3563571	207	27644	27648
DT_72	4141688	3562691	206	27699	27705
DT_59a	4143120	3562564	203	27893	27895
DT_59b	4143120	3562564	203	27905	27907
DT_59c	4143120	3562564	203	27925	27926
DT_59d	4143120	3562564	203	27934	27938
DT_62	4143203	3561509	200	28042	28047
DT_13	4141442	3565251	197	28091	28095
DT_14	4141428	3566213	200	28169	28173
DT_16	4141238	3567844	208	28439	28444
DT_15	4141330	3567026	200	28515	28523
DT_37	4141146	3568661	203	28623	28627
DT_17	4141055	3569479	201	28661	28665
DT_18a	4140962	3570297	201	28794	28796
DT_18b	4140962	3570297	201	28799	28802
DT_51	4142315	3570537	200	28925	28931
DT_52	4142357	3569496	200	28973	28977
DT_53	4142496	3568513	200	29014	29019
DT_54	4142629	3567566	202	29157	29162
DT_55	4142735	3566616	201	29371	29376
DT_56	4142892	3565680	206	29411	29416
DT_57	4142986	3564618	200	29530	29530
DT_49a	4141602	3555537	208	29684	29687
DT_49b	4141602	3555537	208	29693	29697
DT_61	4142595	3555271	209	29778	29783
DT_78a	4142583	3557542	210	29819	29823
DT_78b	4142583	3557542	210	29828	29830
DT_64	4143374	3559497	208	29871	29876
DT_58	4143080	3563607	205	30117	30121
DT_34	4144236	3563485	198	30163	30167
DT_42	4144978	3556285	205	30231	30234
DT_43	4145091	3555456	209	30342	30346
DT_05	4140363	3558874	204	30480	30484
DT_32	4144036	3565391	195	30520	30524
DT_31	4143932	3566330	198	30558	30562
DT_30	4143835	3567275	199	30884	30888
DT_22	4140955	3573475	205	31017	31021
DT_25	4143326	3572065	205	31270	31274
DT_26	4143435	3571092	198	31308	31312
DT_29	4143738	3568227	195	31346	31351
DT_36	4144392	3561754	199	31531	31536
DT_35	4144316	3562581	204	31604	31610
DT_33a	4144147	3564437	202	31658	31661
DT_33b	4144147	3564437	202	31824	31825
DT_24	4142732	3572809	198	32550	32554
DT_28	4143627	3569181	205	32964	32969
DT_27	4143532	3570133	205	33008	33014
DT_50	4142087	3571502	205	33132	33137
DT_65	4141800	3572382	205	33204	33208
DT_23	4141912	3573136	205	33373	33377
DT_21	4140722	3572889	205	33681	33685
DT_20	4140779	3571932	205	34050	34054
DT_19a	4140870	3571115	205	34093	34096
DT_19b	4140870	3571115	205	34099	34100
