id	x.coordinate	y.coordinate	impact	tick.start	tick.end
WTG-A1	4050516.49165843	3444088.64641567	234	30484	30487
WTG-A2	4049471.99535922	3444387.90183986	234	30380	30383
WTG-A3	4048596.63713655	3444355.06229518	234	30422	30425
WTG-A4	4048221.23616125	3444938.47543797	234	30454	30457
WTG-A5	4047845.83713059	3445521.89015723	234	29004	29009
WTG-A6	4047469.44492754	3446105.4039123	234	29092	29095
WTG-A7	4047093.9514339	3446687.82652752	234	28850	28853
WTG-A8	4048097.9135975	3446771.37114602	234	28972	28975
WTG-B1	4050233.56389354	3444641.89665894	234	30628	30631
WTG-B2	4049950.53983604	3445194.15285642	234	27930	27933
WTG-B3	4049666.62104973	3445747.50292233	234	29644	29647
WTG-B4	4049383.69941634	3446300.75668496	234	27888	27893
WTG-B5	4049100.77982707	3446854.0116122	234	29062	29065
WTG-B6	4048440.88399912	3446175.05268642	234	29508	29511
WTG-B7	4048784.95006599	3445579.63348497	234	29372	29373
WTG-B8	4049127.92488597	3444983.31802661	234	30754	30759
WTG-C1	4051374.04281531	3444114.17825879	234	28358	28361
WTG-C2	4051120.35647666	3444678.63059139	234	29562	29565
WTG-C3	4050865.67729968	3445243.18148442	234	28168	28171
WTG-C4	4050612.09383861	3445808.6312005	234	29034	29037
WTG-C5	4050358.31594887	3446372.09155899	234	27694	27697
WTG-C6	4050103.64355985	3446936.64569071	234	27738	27743
WTG-C7	4051114.66233493	3447020.48388979	234	27976	27979
WTG-D1	4052012.22072586	3444715.8677753	234	29724	29727
WTG-D2	4051787.87656362	3445292.51795734	234	28130	28133
WTG-D3	4051564.43165299	3445868.07641568	234	27528	27533
WTG-D4	4051338.99902049	3446443.83080734	234	27782	27785
WTG-D5	4052118.51606804	3447103.00762326	234	28468	28473
WTG-D6	4052332.98021824	3446456.98508206	234	29678	29681
WTG-D7	4052547.44764913	3445810.96354987	234	28654	28659
WTG-D8	4052762.81511724	3445163.85034207	234	28090	28095
WTG-E1	4052237.66081899	3444140.11629997	234	28698	28703
WTG-E2	4052977.28911909	3444517.83084306	234	28814	28817
WTG-E3	4053951.7575155	3444191.25662839	234	29700	29701
WTG-E4	4053785.89324239	3444790.30794431	234	28452	28457
WTG-E5	4053620.03191282	3445389.35995572	234	28300	28305
WTG-E6	4053454.17352551	3445988.41265991	234	29222	29225
WTG-E7	4053287.22462129	3446586.56835263	234	29164	29167
WTG-E8	4053121.37210782	3447185.62243712	234	28260	28265
WTG-F1	4053107.19499495	3443870.04854473	234	30690	30693
WTG-F2	4054119.31992554	3443589.02545587	234	28490	28495
WTG-F3	4054285.28842951	3442990.97074227	234	28526	28531
WTG-F4	4054451.16154972	3442391.92153501	234	30350	30351
WTG-F5	4054617.03761868	3441792.87303403	234	28620	28625
WTG-F6	4054782.91663767	3441193.82524204	234	30896	30899
WTG-F7	4054949.79369483	3440594.68069495	234	30324	30327
WTG-G1	4052128.69920033	3443555.92320033	234	31260	31263
WTG-G2	4053244.07015951	3443221.58441113	234	30662	30663
WTG-G3	4053465.81498658	3442577.87081732	234	28656	28661
WTG-G4	4053686.56795679	3441934.25576413	234	31110	31113
WTG-G5	4053909.31434907	3441290.4468478	234	30984	30987
WTG-G6	4054129.07870875	3440646.93140699	234	29590	29595
WTG-G7	4053308.3615145	3440699.17914258	234	30872	30873
WTG-H1	4052364.5875213	3442984.1742396	234	31008	31011
WTG-H2	4052600.5765688	3442413.42151807	234	31364	31367
WTG-H3	4052836.46970466	3441841.67461933	234	31078	31081
WTG-H4	4053072.26694552	3441268.93354867	234	29532	29535
WTG-H5	4052221.11559253	3441308.08316332	234	31046	31049
WTG-H6	4051948.71892801	3441866.32354914	234	31394	31397
WTG-H7	4051677.22118736	3442423.47242342	234	29116	29119
WTG-J1	4051405.82389936	3442981.61767176	234	29606	29611
WTG-J2	4050321.82958261	3443196.31114211	234	30780	30783
WTG-J3	4050660.53752892	3442597.40624127	234	31226	31229
WTG-J4	4050997.35584578	3441999.69300144	234	31192	31197
WTG-J5	4051334.97491173	3441399.89338673	234	28588	28593
WTG-J5	4051334.97491173	3441399.89338673	234	28630	28633
WTG-J6	4051671.79775791	3440802.18319775	234	28682	28685
WTG-J7	4052492.61760386	3440750.93661854	234	30850	30851
WTG-K1	4051134.42875239	3443539.76407525	234	30844	30849
WTG-K2	4049899.64513849	3443794.34999783	234	28812	28817
WTG-K3	4048972.04005701	3443771.65073542	234	30726	30729
WTG-K4	4049340.56557173	3443199.96795329	234	29124	29125
WTG-K5	4049707.39768305	3442631.46730249	234	31032	31033
WTG-K6	4050091.47937085	3442034.1479728	234	31428	31431
WTG-K7	4050475.66140505	3441437.82555456	234	29760	29763
WTG-K8	4050851.0740555	3440854.42201182	234	28756	28759
WTG-Q1	4060457.69466688	3443910.51014794	234	27504	27507
WTG-Q2	4059509.90893306	3444242.52876089	234	27476	27479
WTG-Q3	4059323.67894049	3444909.87720382	234	26984	26987
WTG-Q4	4059137.45260045	3445577.22654927	234	27442	27445
WTG-Q5	4058951.22991115	3446244.57679349	234	27682	27685
WTG-Q6	4058765.01087078	3446911.9279327	234	27710	27711
WTG-Q7	4058578.79547755	3447579.27996317	234	27738	27743
WTG-R1	4061216.25024071	3444256.17414167	234	26756	26759
WTG-R2	4060284.95006559	3444531.31813338	234	26504	26507
WTG-R3	4060112.20862862	3445152.1269027	234	27040	27045
WTG-R4	4059938.57364129	3445774.02912859	234	26900	26905
WTG-R5	4059765.83853309	3446394.83945981	234	26274	26285
WTG-R6	4059592.20988056	3447016.74324791	234	26680	26687
WTG-R7	4059418.48601542	3447637.65266032	234	26940	26945
WTG-R8	4060258.0761531	3447695.02580024	234	26698	26701
WTG-S1	4061025.02536224	3444944.10256938	234	26368	26367
WTG-S1	4061025.02536224	3444944.10256938	234	26384	26389
WTG-S2	4060833.7060069	3445631.03681323	234	26232	26239
WTG-S3	4060642.58726156	3446319.96231196	234	26392	26395
WTG-S4	4060451.37403542	3447007.89361863	234	26324	26329
WTG-S5	4061283.74130798	3447114.20241893	234	26488	26493
WTG-S6	4061462.65942574	3446474.70362832	234	26760	26763
WTG-S7	4061638.49731713	3445834.50312419	234	26718	26727
WTG-S8	4061817.22542702	3445193.01571767	234	26812	26815
WTG-T1	4061995.15855589	3444553.61696189	234	28168	28171
WTG-T2	4062732.43136614	3444978.72175885	234	28144	28147
WTG-T3	4062536.21597714	3445687.23078248	234	28116	28119
WTG-T4	4062340.00471299	3446395.7408292	234	27950	27955
WTG-T5	4062142.90088127	3447105.34457134	234	27980	27983
WTG-T6	4061946.69786545	3447813.85665452	234	28012	28015
WTG-T7	4061107.01345624	3447755.49724675	234	27246	27251
WTG-U1	4062172.9966944	3443913.22390497	234	29840	29841
WTG-U2	4062928.65088212	3444270.2137628	234	29672	29675
WTG-U3	4063699.38722829	3444576.48496384	234	29804	29805
WTG-U4	4063515.36592209	3445235.56604454	234	30214	30219
WTG-U5	4063334.33337455	3445894.35541107	234	30166	30169
WTG-U6	4063152.40770945	3446554.23832828	234	30080	30083
WTG-U7	4062969.39217485	3447213.22454287	234	30634	30637
WTG-U8	4062787.37527195	3447872.11409348	234	27194	27199
WTG-V1	4063126.4712654	3443557.53121137	234	29792	29795
WTG-V2	4063881.42198131	3443917.59984658	234	29824	29827
WTG-V3	4064065.05704504	3443254.54005722	234	29926	29929
WTG-V4	4064247.09897065	3442595.65674289	234	30336	30339
WTG-V5	4064430.13953027	3441936.67681309	234	30292	30295
WTG-V6	4064612.09028532	3441276.80018335	234	30246	30251
WTG-V7	4064794.14295485	3440617.91959313	234	30584	30585
WTG-V8	4064977.1942594	3439958.94240828	234	30774	30775
WTG-W1	4062351.63658432	3443270.74389171	234	29922	29925
WTG-W2	4063322.69906523	3442849.02529154	234	30056	30059
WTG-W3	4063518.93099851	3442140.5204127	234	30028	30031
WTG-W4	4063716.16212534	3441431.91906706	234	29978	29981
WTG-W5	4063912.30401021	3440722.42115244	234	30030	30033
WTG-W6	4064108.54836182	3440013.91942715	234	30108	30111
WTG-W7	4063240.8948175	3440068.79561498	234	30608	30611
WTG-X1	4062529.48147821	3442630.35252904	234	28438	28441
WTG-X2	4062706.33468474	3441990.05952788	234	28412	28415
WTG-X3	4062884.18633114	3441349.669866	234	27048	27053
WTG-X4	4063062.04135549	3440709.28106107	234	28268	28271
WTG-X5	4062174.02984585	3440812.37101359	234	28296	28299
WTG-X6	4061982.98213381	3441502.28484723	234	28330	28333
WTG-X7	4061791.6433505	3442189.21422471	234	26866	26869
WTG-Y1	4061600.40678568	3442877.13972923	234	30448	30451
WTG-Y2	4060804.79017167	3442664.72091542	234	30472	30473
WTG-Y3	4060977.44596702	3442042.92015352	234	30494	30497
WTG-Y4	4061152.1934002	3441421.92033978	234	30238	30241
WTG-Y5	4061323.95880289	3440801.2138294	234	30170	30173
WTG-Y6	4061496.62413477	3440179.41546808	234	30140	30143
WTG-Y7	4062365.27810483	3440124.44846207	234	30810	30813
WTG-Z1	4061409.17411284	3443565.06620983	234	28968	28971
WTG-Z2	4060631.14248574	3443286.61998026	234	27228	27231
WTG-Z3	4059696.84263182	3443572.09823977	234	27296	27299
WTG-Z4	4059883.07995206	3442904.75161682	234	27258	27261
WTG-Z5	4060069.41925865	3442238.40106651	234	27288	27291
WTG-Z6	4060256.56063831	3441569.96361886	234	27470	27475
WTG-Z7	4060442.90725236	3440903.61491051	234	27084	27087
WTG-Z8	4060629.06089774	3440235.27681008	234	27130	27133
OHVS1-B3	4051699.42916351	3443838.12860294	228	27854	27857
OHVS1-D3	4051699.42916351	3443838.12860294	228	27876	27879
OHVS1-B1	4051699.42916351	3443838.12860294	228	27894	27897
OHVS1-D1	4051699.42916351	3443838.12860294	228	27922	27925
OHVS2-B1	4061768.2363765	3443751.93533626	228	28122	28125
OHVS2-D3	4061768.2363765	3443751.93533626	228	28138	28141
OHVS2-B3	4061768.2363765	3443751.93533626	228	28156	28157
OHVS2-D1	4061768.2363765	3443751.93533626	228	28172	28173
