id	x	y	impact	start	end
id-1	4112925	3469669	234	529132	529135
id-2	4114003	3469669	234	529228	529231
id-3	4115081	3469669	234	529324	529327
id-4	4116159	3469669	234	529420	529423
id-5	4110769	3470747	234	529516	529519
id-6	4111847	3470747	234	529612	529615
id-7	4112925	3470747	234	529708	529711
id-8	4114003	3470747	234	529804	529807
id-9	4115081	3470747	234	529900	529903
id-10	4116159	3470747	234	529996	529999
id-11	4117237	3470747	234	530092	530095
id-12	4118315	3470747	234	530188	530191
id-13	4110769	3471825	234	530284	530287
id-14	4111847	3471825	234	530380	530383
id-15	4112925	3471825	234	530476	530479
id-16	4114003	3471825	234	530572	530575
id-17	4115081	3471825	234	530668	530671
id-18	4116159	3471825	234	530764	530767
id-19	4117237	3471825	234	530860	530863
id-20	4118315	3471825	234	530956	530959
id-21	4110769	3472903	234	531052	531055
id-22	4111847	3472903	234	531148	531151
id-23	4112925	3472903	234	531244	531247
id-24	4114003	3472903	234	531340	531343
id-25	4115081	3472903	234	531436	531439
id-26	4116159	3472903	234	531532	531535
id-27	4117237	3472903	234	531628	531631
id-28	4118315	3472903	234	531724	531727
id-29	4110769	3473981	234	531820	531823
id-30	4111847	3473981	234	531916	531919
id-31	4112925	3473981	234	532012	532015
id-32	4114003	3473981	234	532108	532111
id-33	4115081	3473981	234	532204	532207
id-34	4116159	3473981	234	532300	532303
id-35	4117237	3473981	234	532396	532399
id-36	4118315	3473981	234	532492	532495
id-37	4110769	3475059	234	532588	532591
id-38	4111847	3475059	234	532684	532687
id-39	4112925	3475059	234	532780	532783
id-40	4114003	3475059	234	532876	532879
id-41	4115081	3475059	234	532972	532975
id-42	4116159	3475059	234	533068	533071
id-43	4117237	3475059	234	533164	533167
id-44	4118315	3475059	234	533260	533263
id-45	4110769	3476137	234	533356	533359
id-46	4111847	3476137	234	533452	533455
id-47	4112925	3476137	234	533548	533551
id-48	4114003	3476137	234	533644	533647
id-49	4115081	3476137	234	533740	533743
id-50	4116159	3476137	234	533836	533839
id-51	4117237	3476137	234	533932	533935
id-52	4118315	3476137	234	534028	534031
id-53	4110769	3477215	234	534124	534127
id-54	4111847	3477215	234	534220	534223
id-55	4112925	3477215	234	538636	538639
id-56	4114003	3477215	234	538732	538735
id-57	4115081	3477215	234	538828	538831
id-58	4116159	3477215	234	538924	538927
id-59	4117237	3477215	234	539020	539023
id-60	4118315	3477215	234	539116	539119
id-61	3838058	3251214	234	522367	522370
id-62	3839136	3251214	234	522463	522466
id-63	3840214	3251214	234	522559	522562
id-64	3841292	3251214	234	522655	522658
id-65	3835902	3252292	234	522751	522754
id-66	3836980	3252292	234	522847	522850
id-67	3838058	3252292	234	522943	522946
id-68	3839136	3252292	234	523039	523042
id-69	3840214	3252292	234	523135	523138
id-70	3841292	3252292	234	523231	523234
id-71	3842370	3252292	234	523327	523330
id-72	3843448	3252292	234	523423	523426
id-73	3835902	3253370	234	523519	523522
id-74	3836980	3253370	234	523615	523618
id-75	3838058	3253370	234	523711	523714
id-76	3839136	3253370	234	523807	523810
id-77	3840214	3253370	234	523903	523906
id-78	3841292	3253370	234	523999	524002
id-79	3842370	3253370	234	524095	524098
id-80	3843448	3253370	234	524191	524194
id-81	3835902	3254448	234	524287	524290
id-82	3836980	3254448	234	524383	524386
id-83	3838058	3254448	234	524479	524482
id-84	3839136	3254448	234	524575	524578
id-85	3840214	3254448	234	524671	524674
id-86	3841292	3254448	234	524767	524770
id-87	3842370	3254448	234	524863	524866
id-88	3843448	3254448	234	524959	524962
id-89	3835902	3255526	234	525055	525058
id-90	3836980	3255526	234	525151	525154
id-91	3838058	3255526	234	525247	525250
id-92	3839136	3255526	234	525343	525346
id-93	3840214	3255526	234	525439	525442
id-94	3841292	3255526	234	525535	525538
id-95	3842370	3255526	234	525631	525634
id-96	3843448	3255526	234	525727	525730
id-97	3835902	3256604	234	525823	525826
id-98	3836980	3256604	234	525919	525922
id-99	3838058	3256604	234	526015	526018
id-100	3839136	3256604	234	526111	526114
id-101	3840214	3256604	234	526207	526210
id-102	3841292	3256604	234	526303	526306
id-103	3842370	3256604	234	526399	526402
id-104	3843448	3256604	234	526495	526498
id-105	3835902	3257682	234	526591	526594
id-106	3836980	3257682	234	526687	526690
id-107	3838058	3257682	234	526783	526786
id-108	3839136	3257682	234	526879	526882
id-109	3840214	3257682	234	526975	526978
id-110	3841292	3257682	234	527071	527074
id-111	3842370	3257682	234	527167	527170
id-112	3843448	3257682	234	527263	527266
id-113	3835902	3258760	234	527359	527362
id-114	3836980	3258760	234	527455	527458
id-115	3838058	3258760	234	527551	527554
id-116	3839136	3258760	234	527647	527650
id-117	3840214	3258760	234	527743	527746
id-118	3841292	3258760	234	527839	527842
id-119	3842370	3258760	234	527935	527938
id-120	3843448	3258760	234	528031	528034
id-121	4150208	3578604	234	529225	529228
id-122	4151286	3578604	234	529321	529324
id-123	4152364	3578604	234	529417	529420
id-124	4153442	3578604	234	529513	529516
id-125	4148052	3579682	234	529609	529612
id-126	4149130	3579682	234	529705	529708
id-127	4150208	3579682	234	529801	529804
id-128	4151286	3579682	234	529897	529900
id-129	4152364	3579682	234	529993	529996
id-130	4153442	3579682	234	530089	530092
id-131	4154520	3579682	234	530185	530188
id-132	4155598	3579682	234	530281	530284
id-133	4148052	3580760	234	530377	530380
id-134	4149130	3580760	234	530473	530476
id-135	4150208	3580760	234	530569	530572
id-136	4151286	3580760	234	530665	530668
id-137	4152364	3580760	234	530761	530764
id-138	4153442	3580760	234	530857	530860
id-139	4154520	3580760	234	530953	530956
id-140	4155598	3580760	234	531049	531052
id-141	4148052	3581838	234	531145	531148
id-142	4149130	3581838	234	531241	531244
id-143	4150208	3581838	234	531337	531340
id-144	4151286	3581838	234	531433	531436
id-145	4152364	3581838	234	531529	531532
id-146	4153442	3581838	234	531625	531628
id-147	4154520	3581838	234	531721	531724
id-148	4155598	3581838	234	531817	531820
id-149	4148052	3582916	234	531913	531916
id-150	4149130	3582916	234	532009	532012
id-151	4150208	3582916	234	532105	532108
id-152	4151286	3582916	234	532201	532204
id-153	4152364	3582916	234	532297	532300
id-154	4153442	3582916	234	532393	532396
id-155	4154520	3582916	234	532489	532492
id-156	4155598	3582916	234	532585	532588
id-157	4148052	3583994	234	532681	532684
id-158	4149130	3583994	234	532777	532780
id-159	4150208	3583994	234	532873	532876
id-160	4151286	3583994	234	532969	532972
id-161	4152364	3583994	234	533065	533068
id-162	4153442	3583994	234	533161	533164
id-163	4154520	3583994	234	533257	533260
id-164	4155598	3583994	234	533353	533356
id-165	4148052	3585072	234	533449	533452
id-166	4149130	3585072	234	533545	533548
id-167	4150208	3585072	234	533641	533644
id-168	4151286	3585072	234	533737	533740
id-169	4152364	3585072	234	533833	533836
id-170	4153442	3585072	234	533929	533932
id-171	4154520	3585072	234	534025	534028
id-172	4155598	3585072	234	534121	534124
id-173	4148052	3586150	234	534217	534220
id-174	4149130	3586150	234	538633	538636
id-175	4150208	3586150	234	538729	538732
id-176	4151286	3586150	234	538825	538828
id-177	4152364	3586150	234	538921	538924
id-178	4153442	3586150	234	539017	539020
id-179	4154520	3586150	234	539113	539116
id-180	4155598	3586150	234	539209	539212
id-181	3863201	3224816	234	533167	533170
id-182	3864279	3224816	234	533263	533266
id-183	3865357	3224816	234	533359	533362
id-184	3866435	3224816	234	533455	533458
id-185	3861045	3225894	234	533551	533554
id-186	3862123	3225894	234	533647	533650
id-187	3863201	3225894	234	533743	533746
id-188	3864279	3225894	234	533839	533842
id-189	3865357	3225894	234	533935	533938
id-190	3866435	3225894	234	534031	534034
id-191	3867513	3225894	234	534127	534130
id-192	3868591	3225894	234	534223	534226
id-193	3861045	3226972	234	538639	538642
id-194	3862123	3226972	234	538735	538738
id-195	3863201	3226972	234	538831	538834
id-196	3864279	3226972	234	538927	538930
id-197	3865357	3226972	234	539023	539026
id-198	3866435	3226972	234	539119	539122
id-199	3867513	3226972	234	539215	539218
id-200	3868591	3226972	234	539311	539314
id-201	3861045	3228050	234	539407	539410
id-202	3862123	3228050	234	539503	539506
id-203	3863201	3228050	234	539599	539602
id-204	3864279	3228050	234	539695	539698
id-205	3865357	3228050	234	539791	539794
id-206	3866435	3228050	234	539887	539890
id-207	3867513	3228050	234	539983	539986
id-208	3868591	3228050	234	540079	540082
id-209	3861045	3229128	234	540175	540178
id-210	3862123	3229128	234	540271	540274
id-211	3863201	3229128	234	540367	540370
id-212	3864279	3229128	234	540463	540466
id-213	3865357	3229128	234	540559	540562
id-214	3866435	3229128	234	540655	540658
id-215	3867513	3229128	234	540751	540754
id-216	3868591	3229128	234	540847	540850
id-217	3861045	3230206	234	540943	540946
id-218	3862123	3230206	234	541039	541042
id-219	3863201	3230206	234	541135	541138
id-220	3864279	3230206	234	541231	541234
id-221	3865357	3230206	234	541327	541330
id-222	3866435	3230206	234	541423	541426
id-223	3867513	3230206	234	541519	541522
id-224	3868591	3230206	234	541615	541618
id-225	3861045	3231284	234	541711	541714
id-226	3862123	3231284	234	541807	541810
id-227	3863201	3231284	234	541903	541906
id-228	3864279	3231284	234	541999	542002
id-229	3865357	3231284	234	542095	542098
id-230	3866435	3231284	234	542191	542194
id-231	3867513	3231284	234	542287	542290
id-232	3868591	3231284	234	542383	542386
id-233	3861045	3232362	234	542479	542482
id-234	3862123	3232362	234	542575	542578
id-235	3863201	3232362	234	542671	542674
id-236	3864279	3232362	234	542767	542770
id-237	3865357	3232362	234	542863	542866
id-238	3866435	3232362	234	542959	542962
id-239	3867513	3232362	234	543055	543058
id-240	3868591	3232362	234	543151	543154
id-241	3814414	3348155	234	525717	525720
id-242	3815492	3348155	234	525813	525816
id-243	3816570	3348155	234	525909	525912
id-244	3817648	3348155	234	526005	526008
id-245	3812258	3349233	234	526101	526104
id-246	3813336	3349233	234	526197	526200
id-247	3814414	3349233	234	526293	526296
id-248	3815492	3349233	234	526389	526392
id-249	3816570	3349233	234	526485	526488
id-250	3817648	3349233	234	526581	526584
id-251	3818726	3349233	234	526677	526680
id-252	3819804	3349233	234	526773	526776
id-253	3812258	3350311	234	526869	526872
id-254	3813336	3350311	234	526965	526968
id-255	3814414	3350311	234	527061	527064
id-256	3815492	3350311	234	527157	527160
id-257	3816570	3350311	234	527253	527256
id-258	3817648	3350311	234	527349	527352
id-259	3818726	3350311	234	527445	527448
id-260	3819804	3350311	234	527541	527544
id-261	3812258	3351389	234	527637	527640
id-262	3813336	3351389	234	527733	527736
id-263	3814414	3351389	234	527829	527832
id-264	3815492	3351389	234	527925	527928
id-265	3816570	3351389	234	528021	528024
id-266	3817648	3351389	234	528117	528120
id-267	3818726	3351389	234	528213	528216
id-268	3819804	3351389	234	528309	528312
id-269	3812258	3352467	234	528405	528408
id-270	3813336	3352467	234	528501	528504
id-271	3814414	3352467	234	528597	528600
id-272	3815492	3352467	234	528693	528696
id-273	3816570	3352467	234	528789	528792
id-274	3817648	3352467	234	528885	528888
id-275	3818726	3352467	234	528981	528984
id-276	3819804	3352467	234	529077	529080
id-277	3812258	3353545	234	529173	529176
id-278	3813336	3353545	234	529269	529272
id-279	3814414	3353545	234	529365	529368
id-280	3815492	3353545	234	529461	529464
id-281	3816570	3353545	234	529557	529560
id-282	3817648	3353545	234	529653	529656
id-283	3818726	3353545	234	529749	529752
id-284	3819804	3353545	234	529845	529848
id-285	3812258	3354623	234	529941	529944
id-286	3813336	3354623	234	530037	530040
id-287	3814414	3354623	234	530133	530136
id-288	3815492	3354623	234	530229	530232
id-289	3816570	3354623	234	530325	530328
id-290	3817648	3354623	234	530421	530424
id-291	3818726	3354623	234	530517	530520
id-292	3819804	3354623	234	530613	530616
id-293	3812258	3355701	234	530709	530712
id-294	3813336	3355701	234	530805	530808
id-295	3814414	3355701	234	530901	530904
id-296	3815492	3355701	234	530997	531000
id-297	3816570	3355701	234	531093	531096
id-298	3817648	3355701	234	531189	531192
id-299	3818726	3355701	234	531285	531288
id-300	3819804	3355701	234	531381	531384
id-301	3747531	3440845	234	525275	525278
id-302	3748609	3440845	234	525371	525374
id-303	3749687	3440845	234	525467	525470
id-304	3750765	3440845	234	525563	525566
id-305	3745375	3441923	234	525659	525662
id-306	3746453	3441923	234	525755	525758
id-307	3747531	3441923	234	525851	525854
